id	m49_code	display_name	full_name	is_ldc	is_lldc	is_sids	development_status	m49_region_id	m49_sub_region_id	m49_intermediate_region_id
GNB	624	Guinea-Bissau	Guinea-Bissau	1	0	1	developing	africa	sub_saharan_africa	western_africa
GNQ	226	Equatorial Guinea	Equatorial Guinea	1	0	0	developing	africa	sub_saharan_africa	middle_africa
GRC	300	Greece	Greece	0	0	0	developed	europe	southern_europe	NULL
GRD	308	Grenada	Grenada	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
GRL	304	Greenland	Greenland	0	0	0	developed	americas	northern_america	NULL
GTM	320	Guatemala	Guatemala	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
GUF	254	French Guiana	French Guiana	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
GUM	316	Guam	Guam	0	0	1	developing	oceania	micronesia	NULL
GUY	328	Guyana	Guyana	0	0	1	developing	americas	latin_america_and_the_caribbean	south_america
HKG	344	Hong Kong	China, Hong Kong Special Administrative Region	0	0	0	developing	asia	eastern_asia	NULL
HMD	334	Heard Island and Mcdonald Islands	Heard Island and McDonald Islands	0	0	0	developed	oceania	australia_and_new_zealand	NULL
HND	340	Honduras	Honduras	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
HRV	191	Croatia	Croatia	0	0	0	developed	europe	southern_europe	NULL
HTI	332	Haiti	Haiti	1	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
HUN	348	Hungary	Hungary	0	0	0	developed	europe	eastern_europe	NULL
IDN	360	Indonesia	Indonesia	0	0	0	developing	asia	south_eastern_asia	NULL
IMN	833	Isle of Man	Isle of Man	0	0	0	developed	europe	northern_europe	NULL
IND	356	India	India	0	0	0	developing	asia	southern_asia	NULL
IOT	86	British Indian Ocean Territory	British Indian Ocean Territory	0	0	0	developing	africa	sub_saharan_africa	eastern_africa
IRL	372	Ireland	Ireland	0	0	0	developed	europe	northern_europe	NULL
IRN	364	Iran	Iran (Islamic Republic of)	0	0	0	developing	asia	southern_asia	NULL
IRQ	368	Iraq	Iraq	0	0	0	developing	asia	western_asia	NULL
ISL	352	Iceland	Iceland	0	0	0	developed	europe	northern_europe	NULL
ISR	376	Israel	Israel	0	0	0	developing	asia	western_asia	NULL
ITA	380	Italy	Italy	0	0	0	developed	europe	southern_europe	NULL
JAM	388	Jamaica	Jamaica	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
JEY	832	Jersey	Jersey	0	0	0	developed	europe	northern_europe	channel_islands
JOR	400	Jordan	Jordan	0	0	0	developing	asia	western_asia	NULL
JPN	392	Japan	Japan	0	0	0	developed	asia	eastern_asia	NULL
